,round,accuracy,alpha,repetition,alpha_norm
35,35,0.48,100,9,2.0
36,36,0.4787,100,9,2.0
37,37,0.4814,100,9,2.0
38,38,0.4764,100,9,2.0
39,39,0.4725,100,9,2.0
40,40,0.4745,100,9,2.0
0,0,0.0515,1000,9,3.0
1,1,0.192,1000,9,3.0
2,2,0.347,1000,9,3.0
3,3,0.4056,1000,9,3.0
4,4,0.4371,1000,9,3.0
5,5,0.4619,1000,9,3.0
6,6,0.4815,1000,9,3.0
7,7,0.4996,1000,9,3.0
8,8,0.5025,1000,9,3.0
9,9,0.5058,1000,9,3.0
10,10,0.5164,1000,9,3.0
11,11,0.5162,1000,9,3.0
12,12,0.5167,1000,9,3.0
13,13,0.5118,1000,9,3.0
14,14,0.5133,1000,9,3.0
15,15,0.5137,1000,9,3.0
16,16,0.5112,1000,9,3.0
17,17,0.5086,1000,9,3.0
18,18,0.5092,1000,9,3.0
19,19,0.5036,1000,9,3.0
20,20,0.5001,1000,9,3.0
21,21,0.4959,1000,9,3.0
22,22,0.4947,1000,9,3.0
23,23,0.4951,1000,9,3.0
24,24,0.4925,1000,9,3.0
25,25,0.488,1000,9,3.0
26,26,0.4897,1000,9,3.0
27,27,0.485,1000,9,3.0
28,28,0.4859,1000,9,3.0
29,29,0.4859,1000,9,3.0
30,30,0.4827,1000,9,3.0
31,31,0.4836,1000,9,3.0
32,32,0.4813,1000,9,3.0
33,33,0.4805,1000,9,3.0
34,34,0.4831,1000,9,3.0
35,35,0.4796,1000,9,3.0
36,36,0.4732,1000,9,3.0
37,37,0.475,1000,9,3.0
38,38,0.4772,1000,9,3.0
39,39,0.4766,1000,9,3.0
40,40,0.4733,1000,9,3.0
0,0,0.0499,1000,5,3.0
1,1,0.2051,1000,5,3.0
2,2,0.3528,1000,5,3.0
3,3,0.4154,1000,5,3.0
4,4,0.4418,1000,5,3.0
5,5,0.4659,1000,5,3.0
6,6,0.4773,1000,5,3.0
7,7,0.4875,1000,5,3.0
8,8,0.5028,1000,5,3.0
9,9,0.5083,1000,5,3.0
10,10,0.5121,1000,5,3.0
11,11,0.5175,1000,5,3.0
12,12,0.5174,1000,5,3.0
13,13,0.5184,1000,5,3.0
14,14,0.5129,1000,5,3.0
15,15,0.5127,1000,5,3.0
16,16,0.5131,1000,5,3.0
17,17,0.5075,1000,5,3.0
18,18,0.5068,1000,5,3.0
19,19,0.5029,1000,5,3.0
20,20,0.5061,1000,5,3.0
21,21,0.4999,1000,5,3.0
22,22,0.4966,1000,5,3.0
23,23,0.4953,1000,5,3.0
24,24,0.4899,1000,5,3.0
25,25,0.4947,1000,5,3.0
26,26,0.4916,1000,5,3.0
27,27,0.4882,1000,5,3.0
28,28,0.4881,1000,5,3.0
29,29,0.4831,1000,5,3.0
30,30,0.4837,1000,5,3.0
31,31,0.4842,1000,5,3.0
32,32,0.4839,1000,5,3.0
33,33,0.4854,1000,5,3.0
34,34,0.4757,1000,5,3.0
35,35,0.4808,1000,5,3.0
36,36,0.4788,1000,5,3.0
37,37,0.4758,1000,5,3.0
38,38,0.4776,1000,5,3.0
39,39,0.4779,1000,5,3.0
40,40,0.4765,1000,5,3.0
0,0,0.0543,100,8,2.0
1,1,0.1724,100,8,2.0
2,2,0.3347,100,8,2.0
3,3,0.4026,100,8,2.0
4,4,0.4395,100,8,2.0
5,5,0.4711,100,8,2.0
6,6,0.4872,100,8,2.0
7,7,0.4975,100,8,2.0
8,8,0.5107,100,8,2.0
9,9,0.5182,100,8,2.0
10,10,0.5282,100,8,2.0
11,11,0.5294,100,8,2.0
12,12,0.5298,100,8,2.0
13,13,0.53,100,8,2.0
14,14,0.5291,100,8,2.0
15,15,0.5251,100,8,2.0
16,16,0.5259,100,8,2.0
17,17,0.5215,100,8,2.0
18,18,0.52,100,8,2.0
19,19,0.5183,100,8,2.0
20,20,0.5204,100,8,2.0
21,21,0.5151,100,8,2.0
